time index;Blockage Counter;Overtravel Counter;Internal Error Counter;Over Voltage Counter;Under Voltage Counter;Over Temperature Counter;Cycle Count;CPDMRptdMvmt
1765444094611;0;0;0;0;0;0;47;0
1765444101181;0;0;0;0;0;0;47;1
1765444102191;0;0;0;0;0;0;48;1
1765444102711;0;0;0;0;0;0;48;0
1765444107751;0;0;0;0;0;0;48;1
1765444108111;0;0;0;0;0;0;48;0
1765444114681;0;0;0;0;0;0;48;1
1765444115691;0;0;0;0;0;0;49;1
1765444116231;0;0;0;0;0;0;49;0
1765444121271;0;0;0;0;0;0;49;1
1765444121651;0;0;0;0;0;0;49;0
1765444128182;0;0;0;0;0;0;49;1
1765444129211;0;0;0;0;0;0;50;1
1765444129731;0;0;0;0;0;0;50;0
1765444134771;0;0;0;0;0;0;50;1
1765444135131;0;0;0;0;0;0;50;0
1765444141682;0;0;0;0;0;0;50;1
1765444142691;0;0;0;0;0;0;51;1
1765444143231;0;0;0;0;0;0;51;0
1765444148271;0;0;0;0;0;0;51;1
1765444148631;0;0;0;0;0;0;51;0
1765444155183;0;0;0;0;0;0;51;1
1765444156191;0;0;0;0;0;0;52;1
1765444156731;0;0;0;0;0;0;52;0
1765444161771;0;0;0;0;0;0;52;1
1765444162131;0;0;0;0;0;0;52;0
1765444168683;0;0;0;0;0;0;52;1
1765444169731;0;0;0;0;0;0;53;1
1765444170231;0;0;0;0;0;0;53;0
1765444175271;0;0;0;0;0;0;53;1
1765444175631;0;0;0;0;0;0;53;0
1765444182184;0;0;0;0;0;0;53;1
1765444183231;0;0;0;0;0;0;54;1
1765444183731;0;0;0;0;0;0;54;0
1765444188771;0;0;0;0;0;0;54;1
1765444189131;0;0;0;0;0;0;54;0
1765444195684;0;0;0;0;0;0;54;1
1765444196731;0;0;0;0;0;0;55;1
1765444197231;0;0;0;0;0;0;55;0
1765444202271;0;0;0;0;0;0;55;1
1765444202651;0;0;0;0;0;0;55;0
1765444209185;0;0;0;0;0;0;55;1
1765444210251;0;0;0;0;0;0;56;1
1765444210731;0;0;0;0;0;0;56;0
1765444215771;0;0;0;0;0;0;56;1
1765444216131;0;0;0;0;0;0;56;0
1765444222685;0;0;0;0;0;0;56;1
1765444223711;0;0;0;0;0;0;57;1
1765444224231;0;0;0;0;0;0;57;0
1765444229271;0;0;0;0;0;0;57;1
1765444229631;0;0;0;0;0;0;57;0
1765444236186;0;0;0;0;0;0;57;1
1765444237191;0;0;0;0;0;0;58;1
1765444237731;0;0;0;0;0;0;58;0
1765444242771;0;0;0;0;0;0;58;1
1765444243131;0;0;0;0;0;0;58;0
1765444249686;0;0;0;0;0;0;58;1
1765444250711;0;0;0;0;0;0;59;1
1765444251231;0;0;0;0;0;0;59;0
1765444256271;0;0;0;0;0;0;59;1
1765444256631;0;0;0;0;0;0;59;0
1765444263187;0;0;0;0;0;0;59;1
1765444264211;0;0;0;0;0;0;60;1
1765444264731;0;0;0;0;0;0;60;0
1765444269771;0;0;0;0;0;0;60;1
1765444270131;0;0;0;0;0;0;60;0
1765444276687;0;0;0;0;0;0;60;1
1765444277691;0;0;0;0;0;0;61;1
1765444278231;0;0;0;0;0;0;61;0
1765444283271;0;0;0;0;0;0;61;1
1765444283631;0;0;0;0;0;0;61;0
1765444290188;0;0;0;0;0;0;61;1
1765444291231;0;0;0;0;0;0;62;1
1765444291731;0;0;0;0;0;0;62;0
1765444296771;0;0;0;0;0;0;62;1
1765444297131;0;0;0;0;0;0;62;0
1765444303688;0;0;0;0;0;0;62;1
1765444304711;0;0;0;0;0;0;63;1
1765444305231;0;0;0;0;0;0;63;0
1765444310271;0;0;0;0;0;0;63;1
1765444310651;0;0;0;0;0;0;63;0
1765444317189;0;0;0;0;0;0;63;1
1765444318211;0;0;0;0;0;0;64;1
1765444318731;0;0;0;0;0;0;64;0
1765444323771;0;0;0;0;0;0;64;1
1765444324131;0;0;0;0;0;0;64;0
